ID,Name,Website,Description,Geographical extent,"Geographic coverage
Country","Geographic coverage 
NUTS 2021","Responsible
Organization","Responsible 
Organization 
Category","Functions of Government 
(COFOG level I)","Functions of Government 
(COFOG level II)",Status,Start Year,End Year,AI Classification (I),"AI Classification 
Subdomain (II)
(Main)","AI Classification 
Subdomain (II)
(Other I)","AI Classification 
Subdomain (II)
(Other II)","AI Classification 
Subdomain (II)
(Other III)",AI Keywords (III),Process Type,Application Type,Technology,Interaction,Data Scope 1,Data Scope 2,Improved Public Service,Personalized Services,Public (citizen)-centered services,Increase quality of PSI and services,"More responsive, efficient, and cost-effective public services",New services or channels,Improved Administration,Improved Administrative Efficiency,Cost-reduction,Responsiveness of government operation,Improved management of public resources,Increased quality of processes and systems,Better collaboration and better communication,Reduced or eliminate the risk of corruption and abuse of the law by public servants,"Enabled greater fairness, honesty, equality",Open government capabilities,Increased transparency of public sector operations,Increased public participation in government actions and policy making,Improved public control and influence on government actions and policies,Source
627,"Artificial intelligence ""Wuhan model"" at the biomedical campus in Rome",,"An artificial intelligence system for early diagnosis and monitoring of Covid-19 pneumonia, capable of providing a 98.5% reliable response in 20 seconds starting from the analysis of the lung CT images. The first to acquire this technology in Europe, used in Wuhan during the Coronavirus emergency, is the Campus Bio-Medico University Hospital of Rome. The system has been successfully tested on anonymised patients by radiologists at the Polyclinic",Regional,Italy,IT,Policnico Universitario Campus Bio-Medico Roma,Academic-Research,Health,Hospital services.,Pilot,2020,,Perception,Computer vision,Machine learning,,,Computer Vision,"Analysis, monitoring and regulatory research",Monitoring policy implementation,Artificial Intelligence,G2G,Dynamic Data,Streaming Data,FALSE,,,,,,Improved Administration Efficency,Improved Administrative Efficiency,,x,,x,,,,FALSE,,,,Intelligenza artificiale “modello Wuhan” al Campus biomedico di Roma
628,"Against the infection comes Minerva, a ""robot"" invented by an engineer from Noci (IT)",https://www.facebook.com/minervaanticorpi/,"This chatbot is intended to share information regarding the Coronavirus.
All data are taken from the website of the Ministry of Health http://www.salute.gov.it/nuovocoronavirus",National,Italy,IT,Latina Municipality,Local Government,Health,Public health services.,Implemented,2020,,Communication,Natural language processing,Searching,,,chatbot,Public services and engagement,Engagement management,Artificial Intelligence,G2C,Dynamic Data,Dynamic Data,Improved Public Service,,x,,,,FALSE,FALSE,,,,,,,,FALSE,,,,https://www.noci24.it/cultura/internet/19740-minerva-la-chat-virtuale-sul-coronavirus-contro-le-fake-news-il-nocese-domenicomichele-silvestri-tra-gli-sviluppatori
629,"E-health 4.0, chatbots at the service of diagnostic units",https://www.mondino.it/,"Thanks to the collaboration between Microsoft and Inail, Italian healthcare facilities can make use of the Healthcare Bot solution free of charge to make a digital assistant for self-assessment of coronavirus symptoms accessible on their portal. The cases of Spallanzani, San Giovanni Addolorata Hospital and ASL Napoli 3 Sud",National,Italy,IT,INAIL Agency,Central-Government,Health,Hospital services.,Implemented,2020,,Reasoning,Automated reasoning,Optimisation,,,chatbot,Internal management,Internal primary processes,Artificial Intelligence,G2G,Dynamic Data,Dynamic Data,FALSE,,,,,,Improved Administration Efficency,Improved Administrative Efficiency,,,x,,,,,FALSE,,,,"E-health 4.0, i chatbot al servizio delle unità di diagnosi"
630,Management of the emergency at Hospital Gemelli - Rome,,"respond to the disease by trying to predict medical complications and the results also in terms of estimating hospitalization times, in Covid-19 patients by responding to the disease with personalized paths for each patient. Many important clinical data relating to Covid-19 patients are also not structured but, thanks to text mining techniques available in SAS solutions, the extraction of information can be automated and fast ",Local,Italy,IT,Hospital Gemelli di Roma,Local Government,Health,Hospital services.,Implemented,2020,,Planning,Planning and Scheduling,Natural language processing,,,Intelligent Data Processing,Internal management,Internal primary processes,Artificial Intelligence,G2G,Dynamic Data,Dynamic Data,FALSE,,,,,,Improved Administration Efficency,Improved Administrative Efficiency,,,x,,,,,FALSE,,,,Analytics firmati Sas al Gemelli: “Così gestiamo l’emergenza”
631,Artificial intelligence and video surveillance to control the distance at the airport,,Italian Institute of Technology has developed the' Social distancing 'software that is tested at Genoa airport: colored light cones warn when people are too close ,Local,Italy,IT,IIT and Aeroporto di Genova,Academic-Research,Public order and safety,Public order and safety n.e.c.,Pilot,2020,,Perception,Computer vision,Machine learning,,,Computer Vision,"Analysis, monitoring and regulatory research",Monitoring policy implementation,Artificial Intelligence,G2C,Dynamic Data,Location Data,Improved Public Service,,,,x,,FALSE,FALSE,,,,,,,,FALSE,,,,Intelligenza artificiale e videosorveglianza per controllare il distanziamento all'aeroporto
632,Met police deploy live facial recognition technology,,"Beginning operational use of facial recognition CCTV, despite a scathing assessment of its effectiveness from the expert hired to scrutinise its trials. Thousands of shoppers in east London were scanned by van-mounted cameras pointed at the doors of the Stratford Centre retail complex, in what a senior police officer at the scene described as an “intelligence-led” deployment.",Local,United Kingdom,UK,Metropolitan Police,Local Government,Public order and safety,Public order and safety n.e.c.,Implemented,2020,,Perception,Computer vision,Machine learning,,,Computer Vision,Enforcement,Smart Recognition processes,Artificial Intelligence,G2C,Dynamic Data,Dynamic Data,Improved Public Service,,,x,,,FALSE,FALSE,,,,,,,,FALSE,,,,Met police deploy live facial recognition technology
633,Natural language processing for Land Registry documentation in Sweden,,"The handwritten documents were of low quality and resolution which made analysis challenging. To fix this, the SLR carried out pre-processing work on the handwritten documents to improve the quality of the input data. The SLR then used handwritten text recognition (HTR) to extract information from the handwritten documents. The SLR then used a neural network to apply word corrections and associations to complete any sentences with words not captured by HTR. Once SLR had extracted the text, they used an AI model to highlight key features in the document, for example location, names and summary.",National,Sweden,SE,Swedish Land Registry,Central-Government,Housing and community amenities,Housing development.,Implemented,2019,,Communication,Natural language processing,Computer vision,,,text analysis,Public services and engagement,Service integration (various),Artificial Intelligence,G2G,Historical Data,Location Data,FALSE,,,,,,Improved Administration Efficency,Improved Administrative Efficiency,x,,x,,,,,FALSE,,,,Natural language processing for Land Registry documentation in Sweden
634,How the Ministry of Justice used AI to compare prison reports,,MoJ trained a neural network on the prison reports to track how people use specific words in prison contexts. The algorithm groups words with similar meanings to form an ‘intelligent search’ tool. New reports are automatically added to the tool’s library so the data remains up-to-date. This means staff can rapidly uncover information buried in the reports and identify trends.,National,United Kingdom,UK,Ministry of Justice,Central-Government,Public order and safety,Public order and safety n.e.c.,Implemented,2019,,Communication,Natural language processing,Machine learning,,,text analysis,Internal management,Internal primary processes,Artificial Intelligence,G2G,Dynamic Data,Dynamic Data,FALSE,,,,,,Improved Administration Efficency,Improved Administrative Efficiency,,,x,,,,,FALSE,,,,How the Ministry of Justice used AI to compare prison reports
635,AI-for-Covid Predictive diagnostics made in Italy,https://www.cdi.it/per-i-medici/ricerca/aiforcovid/,"It is a platform based on artificial intelligence applied to diagnostic imaging that allows to identify in advance, in patients affected by Covid-19, on the basis of the chest x-ray examination performed at the time of admission, the risk of going towards a worsening of the pulmonary situation and therefore the need for any mechanical ventilatory assistance.",National,Italy,IT,Hospital Centro Diagnostico Italiano di Milano,Consortium,Health,Public health services.,Planned,2021,,Perception,Computer vision,Automated reasoning,,,Computer Vision,"Analysis, monitoring and regulatory research",Information analysis processes,Artificial Intelligence,G2G,Dynamic Data,Dynamic Data,FALSE,,,,,,Improved Administration Efficency,Improved Administrative Efficiency,,x,,,,,,FALSE,,,,Diagnostica predittiva made in Italy: debutta AI-for-Covid
636,How we used deep learning to structure GOV.UK's content,https://www.gov.uk/,"We used Natural Language Processing to make the text content on the page machine readable. We used this and the page metadata (like date published and department) to learn patterns that could be used to predict which sub-branches an untagged page should be organised in.
In some cases, a GOV.UK page is tagged to more than one sub-branch, so we implemented a multilabel model to be able to do exactly that.",National,United Kingdom,UK,Government Digital Service,Central-Government,Economic affairs,Communication,Implemented,2018,,Planning,Planning and Scheduling,Machine learning,,,Intelligent Data Processing,Internal management,Internal support processes,Artificial Intelligence,G2C,Dynamic Data,Dynamic Data,Improved Public Service,,,,x,,FALSE,FALSE,,,,,,,,FALSE,,,,How we used deep learning to structure GOV.UK’s content
637,How the Department for Transport used AI to improve MOT testing,https://www.gov.uk/government/organisations/driver-and-vehicle-standards-agency,"The DVSA applied a clustering model against garage test data from the last 3 months, as there was no labelled data available. The clustering model grouped MOT centres based on the behaviour they show when conducting MOT tests.
The DVSA created a risk score for each garage in Great Britain. The risk score combined the output of the clustering algorithm with historical data about how frequently garages had been disciplined for not applying correct MOT standards. This allowed the DVSA to rank garages and their testers, and helped the DVSA identify regional trends. The DVSA updated their garage test data every 3 months. This allowed the DVSA to ensure the model used fresh data whilst also providing stability to garage ratings, providing examiners 3 month windows with which to visit garages.",National,United Kingdom,UK,Driver and Vehicle Standards Agency (DVSA) ,Central-Government,Economic affairs,Transport,Implemented,2019,,Planning,Planning and Scheduling,Automated reasoning,,,Intelligent Data Processing,Enforcement,Supporting inspection processes,Artificial Intelligence,G2C,Historical Data,Historical Data,Improved Public Service,,,,x,,FALSE,FALSE,,,,,,,,FALSE,,,,How the Department for Transport used AI to improve MOT testing
638,How DFID used satellite images to estimate populations,https://grid3.org/,"DFID has deployed the programme in Nigeria, Zambia, Mozambique and Democratic Republic of Congo (DRC). DFID has also conducted scoping missions to Tanzania, Ethiopia, and South Sudan. The model - called GRID3 - is being used to:
develop a hybrid census model which combines population estimates for small areas of uniform, detailed grids with modelled population estimates
support developing countries as they plan their full censuses
plan vaccination campaigns and other services
support developing countries such as DRC safely gather population estimates for areas in conflict
DFID is now exploring whether they can also use mobile phone data to provide more accurate local level population estimates.",Across Countries,United Kingdom,UK,Department for International Development (DFID),Governmental,General public services,General services.,Implemented,2019,,Perception,Computer vision,Machine learning,,,Computer Vision,Enforcement,Smart Recognition processes,Artificial Intelligence,G2G,Dynamic Data,Location Data,FALSE,,,,,,Improved Administration Efficency,Improved Administrative Efficiency,,x,,x,,,,FALSE,,,,How DFID used satellite images to estimate populations
639,Whatsapp InfoCenter City of Milan (020202),https://www.comune.milano.it/-/innovazione.-nuovi-servizi-per-l-assistente-virtuale-020202-su-whatsapp,"The municipal administration information center: just save the number in your contacts on your mobile phone and write the word ""Hello"" in a message. The virtual assistant will be activated by indicating a series of options to choose from to obtain an immediate response: Citizenship support services; Resumption of economic activities; Public services and places of worship; Permitted transfers; Viability and parking; People with disabilities; Help the city of Milan; Health information; Decrees, ordinances and circulars. ",Local,Italy,IT,Milano Municipality,Local Government,Economic affairs,Communication,Not in use anymore,2017,2018,Communication,Natural language processing,Optimisation,,,chatbot,Public services and engagement,Engagement management,Artificial Intelligence,G2C,Dynamic Data,Dynamic Data,Improved Public Service,,x,,x,,FALSE,FALSE,,,,,,,,FALSE,,,,Milano battezza il chatbot-center via Whatsapp: è il primo Comune d’Europa
640,A unique artificial intelligence system now directs Ülemiste City drivers to available parking spots,https://pixevia.com/smart-parking-occupancy,"A new system available to drivers in Ülemiste City can guide them precisely to an available parking spot. The system combines signposts, LED displays, web interface and the most advanced AI video camera image analysis tool. It is one of the largest AI powered parking systems in Europe and the whole world. A new system available to drivers in Ülemiste City can guide them precisely to an available parking spot. The system combines signposts, LED displays, web interface and the most advanced AI video camera image analysis tool. It is one of the largest AI powered parking systems in Europe and the whole world.
",Local,Estonia,EE,Ülemiste City ,Local Government,Economic affairs,Transport,Implemented,2018,,Perception,Computer vision,Machine learning,Connected and Automated vehicles,,Connected Vehicle,Public services and engagement,Service integration (various),Artificial Intelligence,G2C,Dynamic Data,Dynamic Data,Improved Public Service,,,x,,,FALSE,FALSE,,,,,,,,FALSE,,,,A unique artificial intelligence system now directs Ülemiste City drivers to available parking spots
641,Detection of mowing events on grasslands from Sentinel-data,,"Detection of mowing events on grasslands from Sentinel-data
The first nation-wide system for automated monitoring of agricultural practices in EU 
Nation-wide fully automated mowing detection system operational in Estonia from 2018
Sentinel-1 and Sentinel-2 time-series for operational near real-time monitoring
85% of detection accuracy of the mowing events on grasslands
Automated “early warning” reminders to applicants",National,Estonia,EE,Estonian Agricultural Registers and Information Board (ARIB),Central-Government,Environmental protection,Environmental protection n.e.c.,Implemented,2018,,Perception,Computer vision,Machine learning,,,Computer Vision,Enforcement,Smart Recognition processes,Artificial Intelligence,G2G,Dynamic Data,Dynamic Data,FALSE,,,,,,Improved Administration Efficency,Improved Administrative Efficiency,,x,,x,,,,FALSE,,,,Detection of mowing events on grasslands from Sentinel-data
642,“Connected” robots in Turin hospitals,https://www.corrierecomunicazioni.it/telco/robot-connessi-negli-ospedali-torinesi-cosi-tim-abbatte-il-distanziamento-covid-19/,"Double Robotics' remote controlled robots (Double3) and connected to the 5G network, for advanced video communication between patients and families, unable to meet due to the provisions on social distancing for Covid-19, but also between medical and nursing staff and educators.",Local,Italy,IT,"Turin-Italy Hospitals:Regina Margherita, Sant’Anna",Local Government,Health,Hospital services.,Pilot,2020,,Perception,Computer vision,Robotics and Automation,,,Computer Vision,Public services and engagement,Service integration (various),Artificial Intelligence,G2C,Dynamic Data,Location Data,Improved Public Service,,x,,x,,FALSE,FALSE,,,,,,,,FALSE,,,,Robot “connessi” negli ospedali torinesi. Così Tim abbatte il distanziamento Covid-19
643,eTranslation: Machine translation for public administrations,https://ec.europa.eu/info/resources-partners/machine-translation-public-administrations-etranslation_en,"eTranslation allows public administrations to get quick, raw machine translations from and into any official EU language. 
eTranslation is an online machine translation service provided by the European Commission (EC).
eTranslation is intended for European public administrations, Small and Medium-sized enterprises and University language faculties, or for Connecting Europe Facility projects.If you work in one of the above in an EU country, Iceland or Norway, you can use our product free of charge until further notice. Apart from individual users, the machine translation service is also available to EC information systems and online services through an API. Example of use is European Data Portal to translate all the dataset metadata in 24 languages",Across Countries,Belgium,BE,European Parliament,Governmental,General public services,General services.,Implemented,2017,,Communication,Natural language processing,Machine learning,,,automatic translation,Internal management,Internal primary processes,Artificial Intelligence,G2G,Dynamic Data,Dynamic Data,FALSE,,,,,,Improved Administration Efficency,Improved Administrative Efficiency,,,x,,,,,FALSE,,,,"AI per le traduzioni in tempo reale, l’Europarlamento sceglie il Made in Italy"
644,Frag-den-Michel! Innovativer Online-Bürgerservice in Betrieb,www.hamburg.de/fragdenmichel,Citizens can ask questions to the Hamburg authorities regardless of normal business hours. The new citizen service Frag-den-Michel can be reached under www.hamburg.de/fragdenmichel. Frag-den-Michel is a text-based dialogue system – a so-called chatbot – which is available for general information as part of a test operation. Frag-den-Michel will supplement the telephone information under the central authority number 040/115.,Local,Germany,DE,Free and Hanseatic City of Hamburg,Local Government,General public services,General services.,Implemented,2019,,Communication,Natural language processing,Searching,,,chatbot,Public services and engagement,Engagement management,Artificial Intelligence,G2C,Dynamic Data,Dynamic Data,Improved Public Service,,x,,x,,FALSE,FALSE,,,,,,,,FALSE,,,,Frag-den-Michel! Innovativer Online-Bürgerservice in Betrieb
645,Municipality Welcome Manager (L2B2 Service Robot) in Ludwigsburg,,"First Information and guide for citizens visiting the Service Department: The digital helper named ""L2B2"" welcomes in the entrance area of the Bürgerbüros, drives independently through the corridors and accompanies the visitors to the respective departments.",Local,Germany,DE,City of Ludwigsburg,Local Government,General public services,R&D general public services.,Implemented,2018,,Integration and Interaction,Robotics and Automation,Optimisation,,,Language Processing,Public services and engagement,Service personalisation (various),Artificial Intelligence,G2C,Dynamic Data,Location Data,Improved Public Service,,x,,x,,FALSE,FALSE,,,,,,,,FALSE,,,,Municipality Welcome Manager (L2B2 Service Robot) in Ludwigsburg
646,Crisis Prevention: PREVIEW,Crisis Prevention: PREVIEW,"Alongside the deployment of ""skilled civilian assistants"" the foreign ministry admits that it is also using modern instruments for ""crisis prevention"" analysis. To ""be able to observe and evaluate disconcerting developments in countries and regions,"" the ministry uses ""situation profiles"" compiled ""round-the-clock"" by the more than 200 German diplomatic missions. On the other hand, with access to the ""data tool"" PREVIEW (""Prediction, Visualization, Early Warning""), software is now available which, using ""information graphics"" and the corresponding maps, can not only make ""conflict situations"" visible, but even provide possible ""trend analyses"" on the potential course of political and social developments. ",Across Countries,Germany,DE,German Federal Foreign Office,Governmental,General public services,Public Services,Implemented,2019,,Planning,Planning and Scheduling,Knowledge representation,,,chatbot,"Analysis, monitoring and regulatory research",Prediction and planning ,Artificial Intelligence,G2G,Dynamic Data,Dynamic Data,FALSE,,,,,,Improved Administration Efficency,Improved Administrative Efficiency,,,x,,,,,FALSE,,,,Crisis Prevention: PREVIEW
647,VeriPol: An Algorithm That Can Spot When People Lie to the Police,https://www.sciencedirect.com/science/article/pii/S095070511830128X,an algorithm-based system that picks out false reports by scrutinizing the wording of statements.,National,Spain,ES,Ministry of Interior,Central-Government,Public order and safety,Public order and safety n.e.c.,Implemented,2019,,Communication,Natural language processing,Machine learning,Automated reasoning,,text analysis,"Analysis, monitoring and regulatory research",Monitoring policy implementation,Artificial Intelligence,G2G,Dynamic Data,Dynamic Data,FALSE,,,,,,Improved Administration Efficency,Improved Administrative Efficiency,,,x,,,,,FALSE,,,,An Algorithm That Can Spot When People Lie to the Police 
648,Swedish municipality deploys robots for safer recruitment,,The Upplands-Bro municipality outside of Stockholm is using artificial intelligence recruitment robots to reduce the risk of contamination at the interview stage during the Covid-19 pandemic.,Local,Sweden,SE,Upplands-Bro municipality,Local Government,Social protection,Unemployment.,Implemented,2020,,Integration and Interaction,Robotics and Automation,Automated reasoning,,,Intelligent Data Processing,Public services and engagement,Service personalisation (various),Artificial Intelligence,G2B,Dynamic Data,Location Data,Improved Public Service,,,,x,,FALSE,FALSE,,,,,,,,FALSE,,,,Swedish municipality deploys robots for safer recruitment
649,Say hello to the Registry of Enterprises' new virtual assistant - Una,,Virtual Assistant at is at the Registry of Enterprises,National,Latvia,LV,Registry of Enterprises,Central-Government,Economic affairs,Communication,Implemented,2018,,Communication,Natural language processing,Automated reasoning,,,chatbot,Public services and engagement,Engagement management,Artificial Intelligence,G2C,Dynamic Data,Dynamic Data,Improved Public Service,,,,x,,FALSE,FALSE,,,,,,,,FALSE,,,,Say hello to the Registry of Enterprises’ new virtual assistant – Una
650,London Police Facial Recognition System,,"The technology London will deploy goes beyond many of the facial recognition systems used elsewhere, which match a photo against a database to identify a person. The new tools use software that can immediately identify people on a police watch list as soon as they are filmed on a video camera.",Local,United Kingdom,UK,City of London Police,Local Government,Public order and safety,Public order and safety n.e.c.,Planned,2021,,Perception,Computer vision,Machine learning,,,Connected Vehicle,Enforcement,Smart Recognition processes,Artificial Intelligence,G2C,Dynamic Data,Location Data,FALSE,,,,,,Improved Administration Efficency,Improved Administrative Efficiency,,x,,,,,,FALSE,,,,London Police Are Taking Surveillance to a Whole New Level
651,The Municipality of Oslo explores chatbots to respond to citizen requests,,"Working collaboratively, Oslo and Capgemini created an interdisciplinary team to develop proof of concept solutions. Beginning with the internal automated chatbot interface, the team tested the solution by having the municipality employees ask the robot to confirm their employment via chat. If successful, the request triggered the generation of a confirmation document through an existing automated process and then delivered final confirmation in the chat window as soon as resources were available.",Local,Norway,NO,Municipality of Oslo,Local Government,Economic affairs,Communication,Implemented,2019,,Communication,Natural language processing,Optimisation,,,chatbot,Public services and engagement,Engagement management,Artificial Intelligence,G2C,Dynamic Data,Dynamic Data,Improved Public Service,,x,,x,,FALSE,FALSE,,,,,,,,FALSE,,,,The Municipality of Oslo explores chatbots to respond to citizen requests
652,CITY OF VIENNA Chatbot,https://www.wien.gv.at/bot/,"The City of Vienna website provides comprehensive, detailed content, while the WienBot is all about information for immediate use. People looking for specific information while out and about need a different kind of content to those accessing the web from home. The WienBot is aimed at an audience that wants a smart way of consuming information quickly and on the go, but without foregoing the personal component. The chatbot can also reply in proper Viennese dialect. This special function puts the emphasis on authenticity and gives chatting with the virtual civil servant an extra helping of Viennese charm",Local,Austria,AT,City of Vienna,Local Government,Economic affairs,Communication,Implemented,2018,,Communication,Natural language processing,Searching,,,chatbot,Public services and engagement,Engagement management,Artificial Intelligence,G2C,Dynamic Data,Dynamic Data,Improved Public Service,,x,,x,,FALSE,FALSE,,,,,,,,FALSE,,,,THE CHATBOT OF THE CITY OF VIENNA
653,London TravelBot,https://tfl.gov.uk/travel-information/social-media-and-email-updates/facebook-travelbot,"We have created an automated service on Facebook Messenger to help you check the status of your Tube, rail or bus route. The service is free and uses our latest data. The status checker is available for all Tube lines, DLR, London Overground, TfL Rail, trams and all bus routes. Try out our Facebook Travelbot on Messenger or read about what it can do here.",Local,United Kingdom,UK,City Hall,Local Government,Economic affairs,Communication,Implemented,2018,,Communication,Natural language processing,Searching,,,chatbot,Public services and engagement,Service personalisation (various),Artificial Intelligence,G2C,Dynamic Data,Dynamic Data,Improved Public Service,,x,,x,,FALSE,FALSE,,,,,,,,FALSE,,,,Making our first chat bot
654,Virtual assistant equipped with artificial intelligence for Parkinson's patients and their families,https://www.policlinicocampusbiomedico.it/unita-operativa/neurologia,"Campus Bio-Medico University Hospital and IBM join forces to create ""Parkinson bot"", a virtual assistant, based on artificial intelligence, capable of answering questions related to Parkinson's 24 hours a day every day",Regional,Italy,IT,Policnico Universitario Campus Bio-Medico Roma,Academic-Research,Health,Hospital services.,Planned,2021,,Reasoning,Knowledge representation,Planning and Scheduling,,,chatbot,Internal management,Internal primary processes,Artificial Intelligence,G2G,Dynamic Data,Dynamic Data,FALSE,,,,,,Improved Administration Efficency,Improved Administrative Efficiency,,,,,x,,,FALSE,,,,IBM e Policlinico Universitario Campus Bio-Medico: assistente virtuale dotato di intelligenza artificiale per i pazienti affetti da Parkinson e le loro famiglie
655,Sohjoa - Baltic Sea Region transitioning into eco-friendly autonomous last mile public transport,https://projects.interreg-baltic.eu/projects/sohjoa-baltic-111.html#partners,"Sohjoa Baltic brings autonomous small buses to drive demo routes in six Baltic Sea region cities. While driving, an autonomous bus scans its surroundings in order to slow down or stop completely if there is an obstacle on its way. However, during the pilots there is always an operator onboard, just like there used to be one inside a lift when they were introduced.",Across Countries,Finland,FI,Metropolia,Consortium,Economic affairs,Transport,Pilot,2020,,Integration and Interaction,Connected and Automated vehicles,Machine learning,,,chatbot,Public services and engagement,Service integration (various),Artificial Intelligence,G2B,Dynamic Data,Dynamic Data,Improved Public Service,,,,x,,FALSE,FALSE,,,,,,,,FALSE,,,,Sohjoa - Baltic Sea Region transitioning into eco-friendly autonomous last mile public transportation
656,HELSINKI Robot Buses,https://www.youtube.com/watch?v=l8cv8DoUjbM,"The pilot route 90R has attracted the curious passengers with over 2000 visitors taking a ride in less than three months. Entirely driverless robot bus is not here yet. The current trials use still human labor inside the shuttle, ensuring everything runs smoothly and safely. If the steward would to be taken out of the shuttle, the robot buses should be remotely operated, similar to the air traffic control. One out of three of the Aurinkolahti survey respondants estimated they could use a robot bus without human personnel inside the shuttle.",Local,Finland,FI,Helsinki,Local Government,Economic affairs,Transport,Pilot,2019,,Integration and Interaction,Connected and Automated vehicles,Machine learning,,,chatbot,Public services and engagement,Service personalisation (various),Artificial Intelligence,G2C,Dynamic Data,Dynamic Data,Improved Public Service,,,,x,,FALSE,FALSE,,,,,,,,FALSE,,,,HELSINKI RESIDENTS FEEL POSITIVE ABOUT ROBOT BUSES
657,Finland Migration Service Chatbot,https://migri.fi/etusivu,"The Finnish Immigration Service has now introduced its new chatbot, Kamu. During the pilot stage, Kamu will answer frequently asked questions about processing times for applications and about the contact details of the Finnish Immigration Service. Kamu is available on all pages on the migri.fi website. You can ask questions in either English or Finnish.",National,Finland,FI,Finnish Immigration Service,Central-Government,Social protection,Social protection n.e.c.,Implemented,2018,,Communication,Natural language processing,Machine learning,,,chatbot,Public services and engagement,Service integration (various),Artificial Intelligence,G2C,Dynamic Data,Dynamic Data,Improved Public Service,,x,,x,,FALSE,FALSE,,,,,,,,FALSE,,,,New chatbot answers questions about processing times and contact details
658,Virtual Digital Assistant with the Revenue Commissioners of Ireland, ,"The virtual assistant uses voice-processing technology to recognize and respond to phone queries about tax clearance certificates and, in some cases, to process applications for those certificates. The pilot is testing the applicability of voice-driven virtual assistants in successfully answering general information questions and simple requests that are made to Revenue over the phone.",National,Ireland,IE,Office of the Revenue Commissioners,Central-Government,General public services,General services.,Implemented,2018,,Communication,Natural language processing,Machine learning,,,chatbot,Public services and engagement,Service integration (various),Artificial Intelligence,G2C,Dynamic Data,Dynamic Data,Improved Public Service,,x,,x,,FALSE,FALSE,,,,,,,,FALSE,,,,Accenture Pilots Virtual Digital Assistant with the Revenue Commissioners of Ireland
659,"University La Sapienza launches the first voice ""assistant"":  Infostud-Watson",https://www.uniroma1.it/it/notizia/nuove-app-gli-studenti,"The trial of Infostud-Watson, the app developed by IBM that already allows the booking of exams and the printing of certifications for the course of study, is underway. The system “learns” and updates the functionalities based on the requests. Infostud-Watson, this is the name of the new app, will allow students to interact with the application through their voice, exploiting the capabilities of artificial intelligence applied to natural language recognition",Local,Italy,IT,University La Sapienza,Academic-Research,General public services,General public services n.e.c.,Planned,2021,,Communication,Natural language processing,Machine learning,,,chatbot,Public services and engagement,Service integration (various),Artificial Intelligence,G2C,Dynamic Data,Dynamic Data,Improved Public Service,x,,,x,,FALSE,FALSE,,,,,,,,FALSE,,,,L’intelligenza artificiale a servizio degli studenti: Sapienza lancia il primo “assistente” vocale
660,"Project “Sibyl A.I. Virtual"" with Regione Puglia",https://www.progettiesoluzioni.it/progetti-speciali/sibyl-ai-virtual-assistant,"the project “Sibyl A.I. Virtual "", funded through a PIA call dedicated to small businesses by the Puglia region, under the POR FESR fund, aims to create a digital platform with virtual assistance to support the interaction between the institution and citizens.",Regional,Italy,IT,Regione Puglia,Local Government,General public services,R&D general public services.,Planned,2021,,Communication,Natural language processing,Machine learning,,,chatbot,Public services and engagement,Engagement management,Artificial Intelligence,G2C,Dynamic Data,Dynamic Data,Improved Public Service,x,,,x,,FALSE,FALSE,,,,,,,,FALSE,,,,Gli assistenti virtuali al servizio della pubblica amministrazione locale
661,Artificial intelligence: high technology and innovation to make life easier for citizens,https://www.comune.trieste.it/it/il-comune-di-trieste-avvia-il-chatbot-un-innovativo-servizio-di-assistenza-vocale-di-utilita-e-facile-fruizione-per-gli-utenti-del-sito-istituzionale-12801,The new chatbot service - developed by Insiel SpA and co-financed by the Friuli Venezia Giulia Region - will debut on the website of the Municipality of Trieste at the beginning of 2020. In the first phase it will concern demographic services and will allow citizens to request information from the Municipality and receive answers in real time.,Local,Italy,IT,Trieste Municipality,Local Government,General public services,General services.,Planned,2019,,Communication,Natural language processing,Searching,,,chatbot,Public services and engagement,Engagement management,Artificial Intelligence,G2C,Dynamic Data,Dynamic Data,Improved Public Service,,x,,x,,FALSE,FALSE,,,,,,,,FALSE,,,,Intelligenza artificiale: alta tecnologia e innovazione per semplificare la vita dei cittadini
662,Robots to be used in UK care homes to help reduce loneliness,,"The wheeled robots, called “Pepper”, move independently and gesture with robotic arms and hands and are designed to be “culturally competent”, which means that after some initial programming they learn about the interests and backgrounds of care home residents. This allows them to initiate rudimentary conversations, play residents’ favourite music, teach them languages, and offer practical help including medicine reminders.",National,United Kingdom,UK,University of Bedfordshire,Academic-Research,Social protection,Old age.,Pilot,2020,,Integration and Interaction,Robotics and Automation,Computer vision,,,chatbot,Public services and engagement,Service personalisation (various),Artificial Intelligence,G2C,Dynamic Data,Dynamic Data,Improved Public Service,x,,,x,,FALSE,FALSE,,,,,,,,FALSE,,,,Robots to be used in UK care homes to help reduce loneliness
